date,person_name,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,tax,loan_status
25-05-2002,Niara Mineiro,23.0,female,Assoc. Degree,47538.0,5.0,RENT,12300.0,MEDICAL,11.01,0.26,2.0,564.0,No,1,Approved
14-05-1997,Isak Ponte,28.0,male,High School,53456.0,1.0,RENT,16000.0,PERSONAL,13.48,0.3,5.0,603.0,No,1,Pending
29-10-2001,Eva Patrícia Mamede,24.0,male,Master,66492.0,3.0,MRTG,8000.0,MEDICAL,,0.12,4.0,585.0,No,1,Approved
19-09-1999,Neuza Rosa Marruz,26.0,male,High School,70759.0,6.0,RENT,1442.0,EDUCATION,13.39,0.02,6.0,591.0,Yes,1,Pending
17-08-2003,Sira Rojoo,22.0,Men,Master,80763.0,0.0,RENT,8000.0,MEDICAL,18.39,0.1,4.0,693.0,No,1,Pending
13-06-1999,Verter Naia,26.0,male,Master,38488.0,3.0,RENT,2900.0,MED,9.91,0.08,2.0,597.0,Yes,1,Rejected
05-04-2001,David Nicolas Coto,24.0,Woman,Masters,79206.0,0.0,MORTGAGE,20000.0,DEBTCONS,11.01,0.25,3.0,683.0,Yes,1,Rejected
28-02-2000,Iumi Paninha,25.0,male,Master,61056.0,4.0,OWN,9175.0,EDUCATION,19.42,0.15,4.0,688.0,Yes,1,Pending
23-04-2000,Liana Sariza Galtarossa,25.0,male,BSc,48686.0,5.0,RENT,4910.0,EDU,14.52,0.1,3.0,590.0,No,1,Approved
10-09-2001,Santiago Daniel Piloo,24.0,male,High School,48897.0,2.0,RNT,20000.0,PERSONAL,12.53,,3.0,656.0,No,1,Approved
15-01-2003,Tarik Abdelaziz Alemoo,22.0,female,High School,107593.0,0.0,MORTG,29000.0,EDUCATION,15.65,0.27,2.0,655.0,Yes,1,Pending
20-05-2003,Helena Yasmin Guilhermino,22.0,male,Assoc,73203.0,1.0,MORTGAGE,4800.0,EDUCATION,7.49,0.07,3.0,604.0,Yes,1,Rejected
25-12-2001,Luana Inês Viena,24.0,Men,Assoc. Degree,16592.0,2.0,RENT,1301.0,MEDICAL,10.56,0.08,4.0,631.0,No,1,Rejected
27-11-1992,Vidinha Parreirão,33.0,male,Master,47018.0,10.0,OWN,8000.0,EDUCATION,15.58,0.17,7.0,641.0,Yes,1,Pending
16-06-1989,Martim Pedro Petricia,36.0,male,Associate,83900.0,15.0,RENT,2000.0,MEDICAL,8.04,0.02,12.0,603.0,No,1,Pending
10-03-1997,Mannoor Carroio,28.0,male,Assoc. Degree,94602.0,6.0,RNT,20000.0,HOMEIMP,11.48,0.21,5.0,670.0,No,1,Rejected
18-10-1994,Darius Dumitru Calé,31.0,female,Bachelor,85046.0,11.0,RENT,2000.0,EDU,11.12,0.02,9.0,700.0,Yes,1,Pending
09-11-2000,Tayra Terça,25.0,female,Associate,75518.0,3.0,MORTGAGE,3000.0,HOME-IMPROVE,12.99,0.04,2.0,675.0,No,1,Rejected
30-03-2001,Américo Júnior Peba,24.0,male,High School,55057.0,2.0,MRTG,6000.0,VENTUREE,7.88,1.862139651040712,3.0,698.0,Yes,1,Rejected
03-01-1998,Mariana Valentina Longo,27.0,female,High School,116127.0,3.0,OWN,15000.0,EDUCTION,11.41,0.13,5.0,618.0,No,1,Rejected
09-02-1998,Cláudio André Felipe,27.0,male,Bachelor,35428.0,7.0,RENT,3036.0,VENTURE,12.75,0.09,4.0,571.0,Yes,1,Rejected
26-02-2003,Mariana da Graça Sesimbra,22.0,Woman,Associate,84527.0,3.0,RENT,6000.0,PERSONAL,12.99,0.07,3.0,627.0,Yes,1,Pending
16-06-1981,Kaily Safira Libório,44.0,M,Bachelor,21033.0,23.0,RENT,1200.0,DEBTCONSOLIDATION,7.66,0.06,14.0,657.0,Yes,1,Rejected
27-10-1998,Ellaine Malos,27.0,male,Bachelor,49055.0,1.0,MORTGAGE,14675.0,HOMEIMPROVEMENT,12.69,0.3,10.0,647.0,Yes,1,Pending
25-04-1992,Ondjala Pompeu,33.0,male,Associate,64846.0,9.0,RENT,1200.0,MEDICAL,16.29,0.02,7.0,545.0,No,1,Pending
09-10-1999,Vivaldo Emilia,26.0,male,Associate,130619.0,2.0,RNT,25000.0,DEBTCONSOLIDATION,14.32,0.19,5.0,581.0,No,1,Approved
25-08-2001,Sarah Vitória Marçoo,24.0,male,Master,66009.0,1.0,RENT,20000.0,PERSONAL,16.06,0.3,3.0,653.0,No,1,Approved
01-02-1997,Keana Magano,28.0,male,Associate,58193.0,9.0,RENT,8500.0,EDUCATION,7.88,0.15,10.0,,Yes,1,Rejected
11-07-2001,Isabel Calisto Caracitas,24.0,Men,Associate,44069.0,0.0,RENT,1500.0,PERSONAL,10.0,0.03,3.0,646.0,Yes,1,Pending
06-09-1999,Melvyn Corga,26.0,male,Master,31184.0,3.0,RENT,1530.0,PERSON,12.76,0.05,2.0,655.0,Yes,1,Pending
04-04-1990,Constança Francisca Nini,35.0,male,Bachelor,38199.0,9.0,RENT,5000.0,DEBTCONSOLIDATION,13.71,0.13,6.0,634.0,No,1,Pending
22-09-1995,Josué Conceição Maranhoto,30.0,female,Bachelor,217320.0,11.0,MORTGAGE,20000.0,DEBTCONSOLIDATION,11.48,0.09,8.0,668.0,Yes,1,Rejected
12-01-1995,Nita Angelica,30.0,female,Bachelor,66833.0,6.0,OWN,6500.0,EDUCATION,10.99,0.1,9.0,611.0,Yes,1,Rejected
26-05-1981,Jasraj Feijão,44.0,female,Associate,99289.0,21.0,MORTGAGE,8400.0,DEBTCONSOLIDATION,12.84,0.08,17.0,714.0,No,1,Pending
21-12-1987,Dai Palricas,38.0,female,Bachelor,100459.0,16.0,RENT,22250.0,HOMEIMPROVEMENT,20.0,0.22,12.0,629.0,No,1,Pending
03-09-2002,Gradiel Leonardo,23.0,female,Bachelor,48554.0,0.0,MORTGAGE,8400.0,EDU,7.51,0.17,4.0,665.0,No,1,Rejected
11-01-1981,Erménia Lojes,44.0,male,Master,76897.0,24.0,RENT,5500.0,MEDICAL,7.51,0.07,13.0,685.0,No,1,Pending
09-09-1985,Tânia Isabel Ninharelhos,40.0,female,Associate,65941.0,22.0,RNT,12000.0,PERSONAL,10.62,0.18,14.0,636.0,Yes,1,Rejected
25-10-2003,Mafalda Beatriz Milhães,22.0,F,Mstr,58797.0,0.0,MORTGAGE,4000.0,PERSONAL,9.63,0.07,2.0,665.0,No,1,Pending
14-03-1978,Francine Medeiros,47.0,Men,Associate,26387.0,26.0,RENT,5000.0,DEBTCONSOLIDATION,15.99,0.19,16.0,655.0,No,1,Approved
16-07-2003,Eneia Cristovão,22.0,Woman,Bachelor,84775.0,0.0,MORTGAGE,16000.0,EDUCATION,16.63,0.19,3.0,655.0,Yes,1,Pending
29-10-2000,Floy Fiens,25.0,male,High School,31070.0,5.0,RENT,8500.0,MDICAL,11.54,0.27,3.0,584.0,No,1,Pending
08-10-2002,Gil Lourenço Elói,23.0,male,BSc,67950.0,1.0,RNT,4000.0,VENTURE,15.23,0.06,4.0,705.0,No,1,Pending
